Produs,Stoc,Prag_minim,Vandut,Status
green apple,5,2,0,OK
chai matcha,5,2,0,OK
nana mint,5,2,0,OK
green energy,5,2,0,OK
mango passionfruit,5,2,0,OK
spicy inspiration,5,2,0,OK
ginger orange,5,2,0,OK
jasmins herb basket,5,2,0,OK
a breeze of lavender,5,2,0,OK
boost & energy,5,2,0,OK
mojito,5,2,0,OK
fasting tea,4,2,1,OK
green baked apple,5,2,0,OK
slim tea,5,2,0,OK
mate citrus,5,2,0,OK
winter euphoria,5,2,0,OK
magic summer,5,2,0,OK
ginger lemon,5,2,0,OK
ceai de plante pentru copii,5,2,0,OK
india meets south africa,5,2,0,OK
vitalization,5,2,0,OK
love tea,4,2,1,OK
venus garden,5,2,0,OK
cool winter,5,2,0,OK
orange ginger,5,2,0,OK
blood orange,5,2,0,OK
mandarin cinnamon,5,2,0,OK
cozy moments,5,2,0,OK
morning chai,5,2,0,OK
indian tea spice,5,2,0,OK
winter chai,5,2,0,OK
stomach elixir,4,2,1,OK
nice dreams,5,2,0,OK
bon appetit,4,2,1,OK
tei şi menta,5,2,0,OK
good morning,5,2,0,OK
green mint,5,2,0,OK
orange cinamon,5,2,0,OK
internal peace,5,2,0,OK
summer romance,5,2,0,OK
feel good,5,2,0,OK
cold season boost,5,2,0,OK
raspberry queen,4,2,1,OK
hibiscus,5,2,0,OK
relax,5,2,0,OK
wellness collection,5,2,0,OK
white tonic,5,2,0,OK
